xflr5 v6.61

Plane name :, Wing
Polar name :, T1-22.0 m/s-LLT
Freestream speed :, 22.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -1.200,     0.000,   0.457382,   0.009261,   0.007159,   0.016420,   0.000000,  -0.000000,  -0.191182,   0.000000,   0.000000,   22.0000,    0.1103
   -1.100,     0.000,   0.465397,   0.009598,   0.007175,   0.016773,   0.000000,  -0.000000,  -0.193103,  -0.000000,  -0.000000,   22.0000,    0.1095
   -1.000,     0.000,   0.473419,   0.009941,   0.007189,   0.017129,   0.000000,  -0.000000,  -0.195028,  -0.000000,  -0.000000,   22.0000,    0.1087
   -0.900,     0.000,   0.481479,   0.010293,   0.007203,   0.017496,   0.000000,  -0.000000,  -0.196985,  -0.000000,  -0.000000,   22.0000,    0.1079
   -0.800,     0.000,   0.489537,   0.010652,   0.007216,   0.017868,   0.000000,   0.000000,  -0.198940,  -0.000000,  -0.000000,   22.0000,    0.1072
   -0.700,     0.000,   0.497588,   0.011017,   0.007232,   0.018248,   0.000000,  -0.000000,  -0.200890,  -0.000000,  -0.000000,   22.0000,    0.1064
   -0.600,     0.000,   0.505625,   0.011387,   0.007250,   0.018637,   0.000000,  -0.000000,  -0.202828,   0.000000,   0.000000,   22.0000,    0.1057
   -0.500,     0.000,   0.513485,   0.011751,   0.007273,   0.019024,   0.000000,  -0.000000,  -0.204665,  -0.000000,  -0.000000,   22.0000,    0.1050
   -0.400,     0.000,   0.521369,   0.012118,   0.007299,   0.019417,   0.000000,  -0.000000,  -0.206500,   0.000000,   0.000000,   22.0000,    0.1044
   -0.300,     0.000,   0.529174,   0.012488,   0.007326,   0.019814,   0.000000,  -0.000000,  -0.208299,   0.000000,   0.000000,   22.0000,    0.1037
   -0.200,     0.000,   0.536998,   0.012865,   0.007351,   0.020216,   0.000000,  -0.000000,  -0.210109,   0.000000,   0.000000,   22.0000,    0.1030
   -0.100,     0.000,   0.544840,   0.013248,   0.007373,   0.020621,   0.000000,  -0.000000,  -0.211932,   0.000000,   0.000000,   22.0000,    0.1024
    0.000,     0.000,   0.552691,   0.013637,   0.007394,   0.021031,   0.000000,  -0.000000,  -0.213759,   0.000000,   0.000000,   22.0000,    0.1018
    0.100,     0.000,   0.560542,   0.014032,   0.007415,   0.021447,   0.000000,  -0.000000,  -0.215588,   0.000000,   0.000000,   22.0000,    0.1012
    0.200,     0.000,   0.568390,   0.014432,   0.007436,   0.021868,   0.000000,  -0.000000,  -0.217416,   0.000000,   0.000000,   22.0000,    0.1006
    0.300,     0.000,   0.576229,   0.014839,   0.007459,   0.022297,   0.000000,  -0.000000,  -0.219239,   0.000000,   0.000000,   22.0000,    0.1001
    0.400,     0.000,   0.584057,   0.015251,   0.007484,   0.022734,   0.000000,  -0.000000,  -0.221060,   0.000000,   0.000000,   22.0000,    0.0995
    0.500,     0.000,   0.591859,   0.015667,   0.007514,   0.023181,   0.000000,  -0.000000,  -0.222866,   0.000000,   0.000000,   22.0000,    0.0990
    0.600,     0.000,   0.599653,   0.016089,   0.007549,   0.023638,   0.000000,  -0.000000,  -0.224670,   0.000000,   0.000000,   22.0000,    0.0985
    0.700,     0.000,   0.607467,   0.016518,   0.007582,   0.024100,   0.000000,  -0.000000,  -0.226485,   0.000000,   0.000000,   22.0000,    0.0980
    0.800,     0.000,   0.615309,   0.016952,   0.007610,   0.024562,   0.000000,  -0.000000,  -0.228312,   0.000000,   0.000000,   22.0000,    0.0975
    0.900,     0.000,   0.623151,   0.017393,   0.007635,   0.025027,   0.000000,  -0.000000,  -0.230140,   0.000000,  -0.000000,   22.0000,    0.0970
    1.000,     0.000,   0.630974,   0.017838,   0.007661,   0.025499,   0.000000,  -0.000000,  -0.231957,   0.000000,  -0.000000,   22.0000,    0.0965
    1.100,     0.000,   0.638777,   0.018288,   0.007690,   0.025978,   0.000000,  -0.000000,  -0.233764,   0.000000,  -0.000000,   22.0000,    0.0961
    1.200,     0.000,   0.646555,   0.018743,   0.007723,   0.026466,   0.000000,  -0.000000,  -0.235559,   0.000000,   0.000000,   22.0000,    0.0956
    1.300,     0.000,   0.654304,   0.019202,   0.007758,   0.026960,   0.000000,  -0.000000,  -0.237341,  -0.000000,  -0.000000,   22.0000,    0.0952
    1.400,     0.000,   0.662005,   0.019663,   0.007796,   0.027459,   0.000000,  -0.000000,  -0.239094,   0.000000,   0.000000,   22.0000,    0.0947
    1.500,     0.000,   0.669685,   0.020126,   0.007834,   0.027960,   0.000000,  -0.000000,  -0.240832,   0.000000,   0.000000,   22.0000,    0.0943
    1.600,     0.000,   0.677413,   0.020596,   0.007870,   0.028466,   0.000000,  -0.000000,  -0.242593,   0.000000,   0.000000,   22.0000,    0.0939
    1.700,     0.000,   0.685153,   0.021070,   0.007904,   0.028974,   0.000000,  -0.000000,  -0.244356,   0.000000,   0.000000,   22.0000,    0.0935
    1.800,     0.000,   0.692912,   0.021551,   0.007934,   0.029485,   0.000000,  -0.000000,  -0.246127,   0.000000,   0.000000,   22.0000,    0.0931
    1.900,     0.000,   0.700662,   0.022037,   0.007965,   0.030002,   0.000000,  -0.000000,  -0.247895,   0.000000,   0.000000,   22.0000,    0.0927
    2.000,     0.000,   0.708377,   0.022526,   0.008000,   0.030526,   0.000000,  -0.000000,  -0.249643,   0.000000,   0.000000,   22.0000,    0.0923
    2.100,     0.000,   0.716066,   0.023019,   0.008038,   0.031057,   0.000000,  -0.000000,  -0.251378,   0.000000,   0.000000,   22.0000,    0.0919
    2.200,     0.000,   0.723705,   0.023516,   0.008080,   0.031596,   0.000000,  -0.000000,  -0.253090,   0.000000,   0.000000,   22.0000,    0.0916
    2.300,     0.000,   0.731311,   0.024015,   0.008128,   0.032143,   0.000000,  -0.000000,  -0.254787,   0.000000,   0.000000,   22.0000,    0.0912
    2.400,     0.000,   0.738935,   0.024520,   0.008177,   0.032697,   0.000000,  -0.000000,  -0.256494,   0.000000,   0.000000,   22.0000,    0.0908
    2.500,     0.000,   0.746598,   0.025032,   0.008222,   0.033254,   0.000000,  -0.000000,  -0.258221,   0.000000,   0.000000,   22.0000,    0.0905
    2.600,     0.000,   0.754317,   0.025553,   0.008262,   0.033815,   0.000000,  -0.000000,  -0.259977,   0.000000,   0.000000,   22.0000,    0.0901
    2.700,     0.000,   0.762054,   0.026081,   0.008299,   0.034380,   0.000000,  -0.000000,  -0.261744,   0.000000,   0.000000,   22.0000,    0.0898
    2.800,     0.000,   0.769771,   0.026614,   0.008338,   0.034951,   0.000000,  -0.000000,  -0.263502,   0.000000,   0.000000,   22.0000,    0.0895
    2.900,     0.000,   0.777448,   0.027150,   0.008380,   0.035530,   0.000000,  -0.000000,  -0.265247,   0.000000,   0.000000,   22.0000,    0.0891
    3.000,     0.000,   0.785060,   0.027689,   0.008430,   0.036119,   0.000000,  -0.000000,  -0.266963,   0.000000,   0.000000,   22.0000,    0.0888
    3.100,     0.000,   0.792640,   0.028231,   0.008484,   0.036716,   0.000000,  -0.000000,  -0.268665,   0.000000,   0.000000,   22.0000,    0.0885
    3.200,     0.000,   0.800254,   0.028780,   0.008537,   0.037316,   0.000000,  -0.000000,  -0.270382,   0.000000,   0.000000,   22.0000,    0.0882
    3.300,     0.000,   0.807901,   0.029334,   0.008587,   0.037921,   0.000000,  -0.000000,  -0.272115,   0.000000,   0.000000,   22.0000,    0.0879
    3.400,     0.000,   0.815560,   0.029894,   0.008637,   0.038531,   0.000000,  -0.000000,  -0.273855,   0.000000,   0.000000,   22.0000,    0.0876
    3.500,     0.000,   0.823224,   0.030461,   0.008688,   0.039149,   0.000000,  -0.000000,  -0.275602,   0.000000,   0.000000,   22.0000,    0.0873
    3.600,     0.000,   0.830866,   0.031033,   0.008740,   0.039773,   0.000000,  -0.000000,  -0.277341,   0.000000,   0.000000,   22.0000,    0.0870
    3.700,     0.000,   0.838430,   0.031606,   0.008797,   0.040403,   0.000000,  -0.000000,  -0.279046,   0.000000,   0.000000,   22.0000,    0.0868
    3.800,     0.000,   0.845894,   0.032180,   0.008859,   0.041039,   0.000000,  -0.000000,  -0.280707,   0.000000,   0.000000,   22.0000,    0.0865
    3.900,     0.000,   0.853347,   0.032757,   0.008922,   0.041679,   0.000000,  -0.000000,  -0.282364,   0.000000,   0.000000,   22.0000,    0.0862
    4.000,     0.000,   0.860710,   0.033335,   0.008987,   0.042322,   0.000000,  -0.000000,  -0.283982,   0.000000,   0.000000,   22.0000,    0.0859
    4.100,     0.000,   0.867960,   0.033912,   0.009059,   0.042971,   0.000000,  -0.000000,  -0.285551,   0.000000,   0.000000,   22.0000,    0.0856
    4.200,     0.000,   0.875060,   0.034484,   0.009142,   0.043625,   0.000000,  -0.000000,  -0.287055,   0.000000,   0.000000,   22.0000,    0.0854
    4.300,     0.000,   0.882082,   0.035055,   0.009231,   0.044286,   0.000000,  -0.000000,  -0.288528,   0.000000,   0.000000,   22.0000,    0.0851
    4.400,     0.000,   0.888952,   0.035620,   0.009335,   0.044955,   0.000000,  -0.000000,  -0.289936,   0.000000,   0.000000,   22.0000,    0.0848
    4.500,     0.000,   0.895739,   0.036185,   0.009448,   0.045633,   0.000000,  -0.000000,  -0.291312,   0.000000,   0.000000,   22.0000,    0.0845
    4.600,     0.000,   0.902563,   0.036755,   0.009562,   0.046316,   0.000000,  -0.000000,  -0.292709,   0.000000,   0.000000,   22.0000,    0.0843
    4.700,     0.000,   0.909545,   0.037338,   0.009664,   0.047002,   0.000000,  -0.000000,  -0.294177,   0.000000,  -0.000000,   22.0000,    0.0840
    4.800,     0.000,   0.916511,   0.037925,   0.009769,   0.047694,   0.000000,  -0.000000,  -0.295641,   0.000000,   0.000000,   22.0000,    0.0838
